p,n,iter,theta,time
1,10000,3000,9998.059926,291.656389
2,10000,3000,9998.059926,145.352580
4,10000,3000,9998.059926,79.203447
8,10000,3000,9998.059926,42.201294
16,10000,3000,9998.059926,26.912979
32,10000,3000,9998.059926,14.670240
64,10000,3000,9998.059926,13.887422
