p,n,iter,theta,time
1,3000,3000,2999.987811,25.721514
2,4242,3000,4241.184270,26.831111
4,5999,3000,5998.446710,41.860158
8,8485,3000,8484.334416,44.796812
16,11999,3000,11997.702932,43.064685
32,16969,3000,16967.751210,59.898483
64,23998,3000,23995.216727,70.454809
