p,n,iter,theta,time
1,10000,3000,9998.059926,314.621317
2,10000,3000,9998.059926,169.057300
4,10000,3000,9998.059926,99.363042
8,10000,3000,9998.059926,56.488595
16,10000,3000,9998.059926,33.036520
32,10000,3000,9998.059926,21.407923
64,10000,3000,9998.059926,15.697591
